Deposit	District	County	State	Long	Lat	No.	Deposit Type	No.	Alternative deposit types	Environmental Model	Discovery Year	Production Dates	Production Tonnage	Tonnage Units	Production Gold oz	Production Silver oz	Production Copper lbs	Production Lead lbs	Production Zinc lbs	Other Production	"References:Production"	Resource Year	Resource Tonnage	Tonnage Units	Grade Au opt or gpt	Grade Ag opt or gpt	Grade Cu (%)	Grade Pb (%)	Grade Zn (%)	Other Grades	"References:Resources"	Comments	Operators	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Nu Layer	Tract	Map No.	Seq. No.	Active Mine	"New Mine(date production will begin)"	Active Prospect	"Best Source(for updating)"
Delhi - St. Gothard	North Columbia	Nevada	CA	-120.991	39.410	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	by 1860s	1890-1934	">54,000"	short t	"73,000"	">11,000"	no	no	no		"MacBoyle, 1919; USBM Production Data 1902-34"													>49	2	>0.3	no	no	no														
Diamond - Bullion - Alaska	Grass Valley	Nevada	CA	-121.051	39.194	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850	1850's-1934			"169,000"	unk	no	no	no		"Johnston, 1940"											 	 		5	unk	no	no	no							LSGQ	PC40	23	413				
Dutch Flat	Dutch Flat	Placer	CA	-120.765	39.261	39a	Placer Au-PGE				1849	1849-1883			"218,000 to 242,000"	unk	no	no	no		"Clark, 1970"		"28,500,000"	short t	0.01	unk	no	no	no		"Yeend, 1974"				6.8 to 7.5	unk	no	no	no		11	unk	no	no	no	PLAC	PLAC	65	530				
Eagle-Shawmut	Jacksonville	Tuolumne	CA	-120.400	37.868	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	by 1866	1896-1946	"~2,500,000"	short t	"290,000"	"82,000"	neg	neg	no		"Knopf, 1929; USBM Minerals Yearbook, 1902-46"	1947	"4,000,000"	short t	0.08	unk	no	no	no		"Moore, 1968"	Resource above 650 foot level; additional material below.		"~2,300"	9	3	neg	neg	no	"3,600"	10	unk	no	no	no								
Empire-North Star	Grass Valley	Nevada	CA	-121.045	39.206	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850	1850-1957	"10,346,000"	short t	"5,855,381"	unk	no	no	no		"McQuiston, 1986"											Substantial undisclosed Au resource.  Surface is now a state park.	Barexor Minerals	"9,387"	196	unk	no	no	no	unk	sig	unk	no	no	no	LSGQ	PC40	25	415				
Engels 	Lights Creek	Plumas	CA	-120.774	40.203	17	Porphyry Cu			Porphyry Cu	1967		no		no	no	no	no	no			1972	"19,100,000"	short t	unk	unk	0.63	no	no		"Amex, 1972"		California-Engels Mining	no	no	no	no	no	no	"17,300"	unk	unk	110	no	no								
Engels-Superior	Lights Creek	Plumas	CA	-120.750	40.300		"Vein, Cu"				1880	1914-1930	"4,697,000"	short t	"22,920"	"1,933,652"	"157,900,000"	no	no		"Amex, 1972; USBM Minerals Yearbook 1914-30"	1930	"60,000"	short t	unk	unk	2.00	no	no		"Amex, 1972"	Resource at Engels mine.	California-Engels Mining	"4,261"	0.7	60	72	no	no	54	unk	unk	1	no	no	PCU1	PC08	01	363				
Ferguson (Anderson)	Clearinghouse	Mariposa	CA	-120.185	37.666	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	~1860	1860-1940			"66,000"	unk	no	no	no		"Bowen and Gray, 1957"														2	unk	no	no	no														
Folsom	Folsom	Sacramento	CA	-121.175	38.684	39a	Placer Au-PGE				1849	1898-1968	">1,000,000,000"	cu yds	"3,600,000"	unk	no	no	no		"Clark, 1970"														112	unk	no	no	no							PLAC	PLAC	78	543				
Four Hills	Sierra City	Sierra	CA	-120.710	39.699	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	by 1861	1861-1926			"97,000"	unk	no	no	no		"Clark, 1970"														3	unk	no	no	no														
Forest Hill	Forest Hill	Placer	CA	-120.727	39.060	39a	Placer Au-PGE				by 1850	1850-1950's			"1,200,000"	unk	no	no	no		"Clark, 1970"	1891	"53,300,000"	cu yds	unk	unk	no	no	no		"Jarman, 1927"				38	unk	no	no	no		unk	unk	no	no	no	PLAC	PLAC	73	538				
Fremont - Gover	Jackson - Plymouth	Amador	CA	-120.826	38.435	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1867	1872-1940	">1,078,000"	short t	">673,495"	">28,949"	no	no	no		"Carlson and Clark, 1954; USBM Production Data 1903-1940"											 	 	>978	>21	>0.9	no	no	no							LSGQ	PC40	37	427				
French Corral	French Corral	Nevada	CA	-121.154	39.319	39a	Placer Au-PGE				1849	1851-1891	"32,500,000"	cu yds	"145,000 to 194,000"	unk	no	no	no		"MacBoyle, 1919"		"10,000,000 to 20,000,000"	cu yds	unk	unk	no	no	no		"Jarman, 1927"				4.5 to 6	unk	no	no	no		unk	unk	no	no	no								
Friant	Friant	Fresno	CA	-119.810	36.959	39a	Placer Au-PGE				1850s?				"121,000"	unk	no	no	no		"Tooker and Vercoutere, 1986"														4	unk	no	no	no							PLAC	PLAC	90	555				
Gardner's Point	Port Wine	Sierra	CA	-120.932	39.681	39a	Placer Au-PGE				1850	1987-1989	"343,443"	cu yds	"2,550"	174	no	no	no		Brush Creek 1987-1989 SEC Form 10K	1986	"6,000,000"	cu yds	0.03	unk	no	no	no		Brush Creek 1986 SEC Form 10K	Early placer production 1850 to 1884 not known.	Brush Creek Mining & Development		0.08	neg	no	no	no		5	unk	no	no	no					Shut down 1988			
Gaston Ridge	Graniteville	Nevada	CA	-120.751	39.396	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1856	1899-1930	"295,000"	short t	"72,000"	">8,500"	no	no	no		"MacBoyle, 1919; USBM Production Data 1902-30"													268	2	>0.3	no	no	no														
Georgia Slide	Georgetown	El Dorado	CA	-120.847	38.926	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850	1850-1887	"3,500,000"	cu yds	"315,000"	unk	no	no	no		"Clark and Carlson, 1956"										"Tooker and Vercoutere, 1986"	Weathered deposit worked as a placer.	 		10	unk	no	no	no		1.6	unk	no	no	no	LSGQ	PC40	29	419				
Gladstone (Hazel)	French Gulch	Shasta	CA	-122.585	40.725	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1887	1896-1940	">346,000"	short t	"165,000"	">27,000"	no	no	no		"Ferguson, 1914; USBM Production Data 1902-40"											 	 	314	5	>0.8	no	no	no							LSGQ	PC40	05	395				
Globe	Dedrick	Trinity	CA	-123.989	40.890	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1880s	1891-1953	">60,000"	short t	"113,970"	"26,650"	no	no	no		"Hotz and others, 1972"		"183,000"	short t	0.39	0.09	no	no	no		"Peters, 1983"	 	 	>54	4	0.8	no	no	no	166	2	0.5	no	no	no	LSGQ	PC40	04	394				
Gold Bluff	Downieville	Sierra	CA	-120.821	39.582	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1851	1851-1902			"73,000"	unk	no	no	no		"Carlson and Clark, 1956"														2	unk	no	no	no														
Gold Cliff	Angels Camp	Calaveras	CA	-120.544	38.066	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850	1850-1920			"137,000"	unk	no	no	no		"Clark and Lydon, 1962"	1987	"4,500,000"	short t	0.07	unk	no	no	no		"E/MJ 11/1988, 12/1987"		Mother Lode Gold Mines Consolidated		4	unk	no	no	no	"4,000"	9	unk	no	no	no	LSGQ	PC40	52	442				
Gold Hill	Grass Valley	Nevada	CA	-121.038	39.261	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850	1850-1867			"190,000"	unk	no	no	no		"Johnston, 1940"														6	unk	no	no	no														
Gold Run	Gold Run	Placer	CA	-120.854	39.184	39a	Placer Au-PGE				1849	1865-1878	"84,000,000"	cu yds	"296,000"	unk	no	no	no		"Clark, 1970; Lindgren, 1911"	1927	"75,000,000"	cu yds	0.03	unk	no	no	no		"Yeend, 1974; Jarman, 1927"				9	unk	no	no	no		19	unk	no	no	no								
Goldbank	Forbestown	Butte	CA	-121.269	39.526	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	before 1887	1888-1938	">154,000"	short t	"115,000"	">43,000"	no	no	no		"Clark, 1970; USBM Production Data 1902-38"													>140	4	>1.3	no	no	no														
Golden Center	Grass Valley	Nevada	CA	-121.063	39.215	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850	1850's-1942	">373,000"	short t	"188,000"	">119,000"	neg	neg	no		"Johnston, 1940; USBM Production Data 1914-42"											 	 	>338	6	>1	neg	neg	no							LSGQ	PC40	24	414				
Golden Dome	Antelope Neck	Sierra	CA	-120.293	39.643	25a	Hot-spring Au-Ag 	25c	"Epithermal vein, Comstock"		1862		no		no	no	no	no	no				"1,500,000"	short t	0.07	0.80	no	no	no		"Young and Cluer, 1992"		Tenneco Minerals	no	no	no	no	no	no	"1,400"	3	37	no	no	no							Yes	
Golden Quail		San Bernardino	CA	-115.303	35.213		Unclassified				1890	1890-1905	200	short t	96	unk	no	no	no		"Montgomery and Runkle, 1982"		">1,850,000"	short t	0.07	unk	no	no	no		Randol 1996	"Total resource of 274,000 oz Au"	Golden Quail - Golden Hemlock - Windham Resources	 neg	neg	neg	no	no	no	">1,680"	9	unk	no	no	no							Yes	
Governor (New York)	Acton	Los Angeles	CA	-118.205	34.507	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1877	1880's-1942			">73,000"	unk	no	no	no		"Clark, 1970"														>2.2	unk	no	no	no														
Gray Eagle	Happy Camp	Siskiyou	CA	-123.371	41.863	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1895	1943-1986	"1,246,000"	short t	"148,721"	"289,835"	"28,968,000"	no	no		"Singer, 1992; Noranda 1982-86 Annual Reports"		"3,000,000"	short t	0.02	0.10	1.50	no	no		Randol 1990		Siskon Gold	"1,130"	5	9	13	no	no		3	14	41	no	no	KVMS	PC14	01	368				
Greenhorn	Redding	Shasta	CA	-122.694	40.657	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide		1915-1941	"111,000"	short t	"6,300"	"20,500"	"720,000"	neg	no		USBM Production Data 1915-41	1992	"1,100,000"	short t	0.07	0.05	2.30	no	no		Randol 1996; Robertson Info-Mine		Sikamon Gold	101	0.2	0.6	neg	neg	no	"1,000"	2	17	23	no	no								
Greenhorn Creek	Greenhorn Creek	Siskiyou	CA	-122.674	41.720	39a	Placer Au-PGE				1850	1851-1914			"485,000"	unk	no	no	no		"Clark, 1970"														15	unk	no	no	no							PLAC	PLAC	40	505				
Grizzley	Soulsbyville	Tuolumne	CA	-120.222	37.941	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	by 1861				"73,000"	unk	no	no	no		"Clark, 1970"														2	unk	no	no	no							LSGQ	PC40	57	447				
Gwin	Paloma (Mokelumne Hill)	Calaveras	CA	-120.760	38.276	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850	1850-1927	"1,400,000"	short t	"168,000"	">17,000"	no	no	no		"Julihn and Horton, 1938; USBM Production Data 1902-1908"											 	 	"1,300"	5	>0.5	no	no	no							LSGQ	PC40	48	438				
Hammonton	Hammonton	Yuba	CA	-121.415	39.204	39a	Placer Au-PGE				1849	1903-1991	">1,029,000,000"	cu yds	"5,140,000"	unk	no	no	no		"Clark, 1970; Yuba Westgold 1984-91 SEC Form 10K; Fluor 1981-83 SEC Form 10K"	1991	"76,230,000"	cu yds	0.01	unk	no	no	no		Yuba Westgold 1991 SEC Form 10K		Cal Sierra Developments		160	unk	no	no	no		14	unk	no	no	no	PLAC	PLAC	66	531	Yes			
Hasloe	Kinsley	Mariposa	CA	-120.048	37.698	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1854	1880-1890			"145,000"	unk	no	no	no		"Clark, 1970"														5	unk	no	no	no							LSGQ	PC40	63	453				
Hayden Hill	Hayden Hill	Lassen	CA	-120.875	40.995	25a	Hot-spring Au-Ag 	25c	"Epithermal vein, Comstock"		1869	1874-1996	"24,908,000"	short t	"421,171"	">909,403"	no	no	no		"Buchanan, 1981; Amax Gold 1992-96 SEC Form 10K"	1996	"5,635,000"	short t	0.03	unk	no	no	no		Amax Gold 1996 SEC Form 10K	 	Amax Gold	"25,596"	13	>28	no	no	no	"5,112"	5	unk	no	no	no	HTSG	PC28	02	379	Yes			Amax Gold SEC Form 10K
Herman		Placer	CA	-120.637	39.135	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein											"Bliss and Jones, 1988"											 	 		3											LSGQ	PC40	26	416				
Hite	Hite Cove	Mariposa	CA	-119.864	37.646	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1862	1863-1909			"145,000"	unk	no	no	no		"Julihn and Horton, 1940"														5	unk	no	no	no														
Holcomb Valley	Holcomb Valley	San Bernardino	CA	-116.916	34.302	39a	Placer Au-PGE				1860	1860-1950's			"345,500"	unk	no	no	no		"Koschmann and Bergendahl, 1968"											Amount of gold production is questionable.			11	unk	no	no	no							PLAC	PLAC	95	560				
Idaho-Maryland - Eureka - Brunswick	Grass Valley	Nevada	CA	-121.038	39.224	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1851	1851-1959	">5,376,000"	short t	"2,458,000"	">467,000"	neg	neg	neg	Tungsten	"McQuiston, 1986; Johnston, 1940; USBM Production Data 1902-59; Clark, 1970"	1994	"9,117,500"	short t	0.33	unk	no	no	no		Randol 1996		Emperor Gold	">4,877"	76	>14.5	neg	neg	neg	"8,271"	92	unk	neg	neg	neg	LSGQ	PC40	22	412		Being permitted		
Igo - Ono	Igo - Ono	Shasta	CA	-122.529	40.495	39a	Placer Au-PGE				1850s	1933-1942			">113,000"	unk	no	no	no		"Koschmann and Bergendahl, 1968"														>3.5	unk	no	no	no							PLAC	PLAC	46	511				
Imperial (Indian Rose)	Picacho	Imperial	CA	-114.829	32.932	25a	Hot-spring Au-Ag						no		no	no	no	no	no		 	1996	"107,545,200"	short t	0.02	unk	no	no	no		Glamis Gold 1996 SEC Form 10K	 	Glamis Gold	no	no	no	no	no	no	"97,563"	54	unk	no	no	no	HTSG	SB37	02	793		Under development		Glamis Gold SEC Form 10K
Iowa Hill	Iowa Hill	Placer	CA	-120.829	39.030	39a	Placer Au-PGE				1848	1849-1900's	">32,000,000"	cu yds	">970,000"	unk	no	no	no		"Clark, 1970"	1915	"40,000,000"	cu yds	0.006	unk	no	no	no		"Jarman, 1927"				>30	unk	no	no	no		8	unk	no	no	no	PLAC	PLAC	72	537				
Iron Mountain	West Shasta	Shasta	CA	-122.524	40.673	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	early 1860s	1889-1965	"9,464,000"	short t	"296,000"	"4,693,000"	"349,269,000"	"150,000"	"12,847,000"	"5,227,000 short t pyrites at 48 to 50% S; 55,000 short t magnetite at 60% Fe."	"Kinkel and others, 1956; Lydon and O'Brien, 1974; USBM Minerals Yearbooks 1897-1954"	1990	"12,000,000"	short t	0.04	1.60	1.50	neg	2.80		E/MJ 1/1979	Resource of pyrite ore.  An additional 3.05 million st gossan and 3 million st of hematite resources of unspecified grade.	Iron Mountain Mines - Liquid Gold	"8,586"	9	146	158	neg	6	"11,000"	15	597	163	unk	305	KVMS	PC15	03	371				
Italian	Jackson - Plymouth	Amador	CA	-120.830	38.444	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	before 1862	1937-1954	"18,474"	short t	"2,574"	422	neg	no	no		USBM Production Data 1937-54	1951	"993,000"	short t	0.19	unk	no	no	no		Robertson Info-Mine		Amador United Gold	17	0.08	neg	neg	no	no	901	6	unk	no	no	no								
Jamestown	Jamestown	Tuolumne	CA	-120.437	37.946	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850	1850-1994	">16,832,000"	short t	"2,310,000"	">295,400"	no	no	no		"Clark, 1970; Sonora Gold 1987-94 SEC Form 20F"	1986	"26,185,000"	short t	0.10	unk	no	no	no		"Sonora Gold 1986 SEC Form 20F, Teet, 1981"	"Resource at Harvard, Dutch-App/Nyman, Jumper, and Rawhide mines."	Sonora Gold	">15,270"	72	>9	no	no	no	"23,750"	81	unk	no	no	no	LSGQ	PC40	59	449	Shut down 1994	Reclamation completed 1996		
Jamison	Johnsville	Plumas	CA	-120.702	39.735	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1888	1888-1951	">334,000"	short t	"89,000"	">8,676"	no	no	no		"MacBoyle, 1920; USBM Production Data 1902-51"													>303	3	>0.27	no	no	no														
Jenny Lind	Jenny Lind	Calaveras	CA	-120.860	38.117	39a	Placer Au-PGE				1849	1903-1940	"21,000,000"	cu yds	">100,000"	unk	no	no	no		"Orris and Bliss, 1985; Clark, 1970"														>3.1	unk	no	no	no							PLAC	PLAC	83	548				
Julian-Banner	Julian-Banner	San Diego	CA	-116.556	33.075	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1870	1870-1896			"242,000"	unk	no	no	no		"Clark, 1970"											 	 		8	unk	no	no	no							LSGQ	PC40	74	464				
Kelly	Randsburg	San Bernardino	CA	-117.650	35.360	25d	"Epithermal vein, Sado"			"Creede, Comstock and Sado epithermal vein"	1919	1919-1959	"633,000"	short t	"63,834"	"15,084,409"	"74,000"	no	no		"Hulin, 1925; USBM Production Data 1919-59"											 	 	574	2	469	neg	no	no							SADO	SB31	02	784				
Kennedy	Jackson - Plymouth	Amador	CA	-120.779	38.367	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1856	1885-1942	"4,340,000"	short t	"1,742,000"	">229,137"	"8,500"	"10,900"	no		"Logan, 1927; USBM Production Data 1902-42"											 	 	"3,937"	54	>7	neg	neg	no							LSGQ	PC40	45	435				
Keystone	Amador City	Amador	CA	-120.822	38.418	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1851	1852-1942	">1,310,000"	short t	">277,000"	">31,000"	"18,000"	no	no		"Hillman and others, 1984; USBM Production Data 1902-42"		unk		sig	unk	neg	no	no			Substantial resource developed to replace depleted reserves at Kennedy mine during 1930's but never worked.	 	">1,188"	>8.6	>1	neg	no	no	unk	sig	unk	neg	no	no	LSGQ	PC40	40	430				
Keystone	Lone Pine	Inyo	CA	-117.129	35.844		Unclassified						unk		unk	unk	unk	unk	unk			1993	"400,000"	short t	0.40	unk	no	no	no		Randol 1996		Keystone Mining	unk	unk	unk	unk	unk	unk	360	5	unk	neg	no	no								
La Grange	La Grange	Stanislaus	CA	-120.459	37.667	39a	Placer Au-PGE				1849	1907-1951	">70,000,000"	cu yds	"630,000"	unk	no	no	no		"Clark, 1970"														20	unk	no	no	no							PLAC	PLAC	87	552				
La Grange	Weaverville	Trinity	CA	-122.989	40.740	39a	Placer Au-PGE				1850	1851-1942	">100,000,000"	cu yds	"387,000"	unk	no	no	no		"Clark, 1970"														12	unk	no	no	no														
La Porte	La Porte	Plumas	CA	-120.945	39.713	39a	Placer Au-PGE				1850s	1855-1871			"2,900,000"	unk	no	no	no		"Clark, 1970"														90	unk	no	no	no							PLAC	PLAC	53	518	Yes			
"Lava Cap (Banner, Central)"	Nevada City	Nevada	CA	-120.970	39.228	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1860	1860-1958	">1,002,265"	short t	"520,000"	">2,193,000"	"224,013"	"247,235"	no		"Logan, 1941; USBM Minerals Yearbook and Production Data 1934-58"											"Early production from Banner, North Banner, and Central mines."		>909	16	>68	neg	neg	no														
Lightner	Angels Camp-Carson Hill	Calaveras	CA	-120.560	38.073	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	by 1857	1896-1915	">570,000"	short t	">145,000"	">10,000"	no	no	no		"Clark and Lydon, 1962; USBM Production Data 1902-1914"											 	 	>520	5	>0.3	no	no	no							LSGQ	PC40	50	440				
Lincoln	Sutter Creek	Amador	CA	-120.800	38.395	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	~1851	1851-1887			"97,000"	unk	no	no	no		"Logan, 1927"	1995	"668,000"	short t	0.41	unk	no	no	no		Randol 1996	Production figure thought to be excessive. Substantial low-grade resource remains.	U.S. Energy		3	unk	no	no	no	606	9	unk	no	no	no							?	U.S. Energy SEC Form 10K
Lincoln (Garden Bar)	Lincoln (Garden Bar)	Placer	CA	-121.272	38.934	39a	Placer Au-PGE					1930's	"23,500,000"	cu yds	"139,000"	"17,000"	no	no	no		"Orris and Bliss, 1985"														3	0.5	no	no	no							PLAC	PLAC	75	540				
Long Valley		Mono	CA	-118.867	37.700	25c	"Epithermal vein, Comstock"	25a	Hot-spring Au-Ag	"Creede, Comstock and Sado epithermal vein"			no		no	no	no	no	no			1997	"111,800,000"	short t	0.02	unk	no	no	no		"Steininger, 1997"	 	Royal Gold - Amax Gold	no	no	no	no	no	no	"101,400"	63	unk	no	no	no	QZAD	GB22	04	095			Yes	
Lowell Hill	Lowell Hill	Nevada	CA	-120.778	39.266	39a	Placer Au-PGE				by 1854	1850's-1915	"3,750,000"	cu yds	"200,000"	unk	no	no	no		"Orris and Bliss, 1985; Lindgren, 1911"		"4,500,000"	cu yds	0.01	unk	no	no	no		"Yeend, 1974"	"Lindgren, 1911 estimated a larger resource of 22,000,000 cu yds of uknown grade."			6	unk	no	no	no		1	unk	no	no	no	PLAC	PLAC	64	529				
Magalia	Magalia	Butte	CA	-121.589	39.844	39a	Placer Au-PGE				1849	1850's-1930's			">66,000"	unk	no	no	no		"Clark, 1970"											"Clark, 1970 also reports a traditional production figure of 1,900,000 oz Au which he regards as excessive."			>2	unk	no	no	no							PLAC	PLAC	51	516				
Mammoth	Keyesville	Kern	CA	-118.501	35.623	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1855	1850's-1941	">8,000"	short t	"29,000"	">4,000"	no	no	no		"Troxel and Morton, 1962; USBM Production Data 1902-41"											 	 	>7	1	neg	no	no	no							LSGQ	PC40	72	462				
Mammoth	West Shasta	Shasta	CA	-122.454	40.763	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide	1852	1905-1925	"3,311,145"	short t	"140,000"	"7,813,000"	"271,133,000"	neg	"15,236,000"		"Kinkel and others, 1956; USBM Minerals Yearbook 1905-25."											 	 	"3,004"	4	243	123	neg	7							KVMS	PC15	01	369				
Manzanita	Nevada City	Nevada	CA	-121.128	39.270	39a	Placer Au-PGE				1850	1850-1894			"242,000"	unk	no	no	no		"Clark, 1970"														8	unk	no	no	no														
Mariposa	Mariposa	Mariposa	CA	-119.958	37.480	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1849	1849-1932	">114,000"	short t	"116,000"	unk	no	no	no		"Julihn and Horton, 1940; Bowen and Gray, 1957"											 	 	>103	4	unk	no	no	no							LSGQ	PC40	70	460				
Mary Harrison - Malvina	Coulterville	Mariposa	CA	-120.216	37.695	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	~1852	1852-1942	">463,000"	short t	"128,000"	unk	neg	neg	no		"Bowen and Gray, 1957"											Substantial low-grade resource remains.		>420	4	unk	no	no	no							LSGQ	PC40	62	452				
Masonic	Masonic	Mono	CA	-119.117	38.367	25e	"Epithermal Au, quartz-alunite"			Epithermal quartz-alunite Au	1902	1902-1959	"74,694"	short t	"55,791"	"38,749"	900	no	no		USBM Production Data 1902-59	1988	"1,063,000"	short t	0.06	0.80	neg	no	no		Randol 1990		Precision International Resources	68	2	1	neg	no	no	964	2	26	neg	no	no								
Massachusetts Hill	Grass Valley	Nevada	CA	-121.006	39.249	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1850	1850-1901	"280,000"	short t	"191,360"	unk	no	no	no		"McQuiston, 1986"													254	6	unk	no	no	no														
May Lundy	Homer (Lundy)	Mono	CA	-119.260	38.017	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1877	1879-1930's	"100,000"	short t	"145,000"	unk	no	no	no		"Clark, 1970; Heller, no date"		"130,000"	short t	1.00	unk	no	no	no		"Heller, no date"	Cut-off grade during production was 1 opt Au.	 		5	unk	no	no	no	120	4	unk	no	no	no	LSGQ	PC40	55	445				
McLaughlin	Knoxville	Napa	CA	-122.357	38.836	25a	Hot-spring Au-Ag 				1979	1985-1996	"21,793,000"	short t	"2,737,260"	"1,307,000"	no	no	no		Homestake 1985-96 SEC Form 10K	1996	"16,627,000"	short t	0.06	unk	no	no	no		Homestake 1996 SEC Form 10K	 	Homestake	"19,770"	85	41	no	no	no	"15,084"	33	unk	no	no	no	HTSG	PC34	02	385	Yes			Homestake SEC Form 10K; www.homestake.com
Meadow Lake (Excelsior)	Meadow Lake	Nevada	CA	-120.521	39.397	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1863	1865-1905	">10,000"	short t	"9,700"	unk	no	no	no		"Clark, 1970; USBM Production Data 1902-05"	1987	"600,000"	short t	0.15	unk	no	no	no		AMH 1993 entry for Earth Sciences		Earth Sciences	>9	0.3	unk	no	no	no	540	3	unk	no	no	no								
Mesquite	Mesquite	Imperial	CA	-114.963	33.098	25a	Hot-spring Au-Ag 				1981	1932-1996	">83,801,000"	short t	"2,121,636"	sig	neg	no	no		Consolidated Gold Field 1986-88 Annual Reports; Hanson 1991-92 SEC Form 10K; Santa Fe Pacific Gold 1992-96 SEC Form 10K; USBM Production Data 1932-57	1996	"156,150,000"	short t	0.02	sig	no	no	no		Santa Fe Pacific Gold 1996 SEC Form 10K		Newmont Gold	">76,000"	66	sig	neg	no	no	"141,660"	88	sig	no	no	no	HTSG	SB37	01	792	Yes			Newmont Gold SEC Form 10K; www.newmont.com
Michigan Bar (Sloughouse)	Michigan Bar (Sloughouse)	Sacramento	CA	-121.086	38.474	39a	Placer Au-PGE				by 1850	1850-1940's			">1,700,000"	unk	no	no	no		"Clark, 1970"														>53	unk	no	no	no														
Michigan Bluff	Michigan Bluff	Placer	CA	-120.774	39.043	39a	Placer Au-PGE				1850	1850-1927	"6,000,000"	cu yds	"240,000"	unk	no	no	no		"Clark, 1970"		">3,000,000"	cu yds	0.09	unk	no	no	no		"Jarman, 1927"				8	unk	no	no	no		8	unk	no	no	no	PLAC	PLAC	71	536				
Midas	Harrison Gulch	Shasta	CA	-122.985	40.390	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1894	1896-1914	"179,187"	short t	"176,236"	">27,000"	no	no	no		"Lydon and O'Brien, 1974; USBM Production Data 1915-53"											 	 	163	5	>0.8	no	no	no							LSGQ	PC40	09	399				
Milkmaid-Franklin	French Gulch	Shasta	CA	-122.669	40.722	36a	Low-sulfide Au-quartz vein			Low-sulfide Au-quartz vein	1852	1850's-1942			"121,000"	unk	no	no	no		"Lydon and O'Brien, 1974"											 	 		4	unk	no	no	no							LSGQ	PC40	07	397				
Moonlight Valley	Lights Creek	Plumas	CA	-120.854	40.195	17	Porphyry Cu			Porphyry Cu	1966		no		no	no	no	no	no			1972	"176,400,000"	short t	0.001	0.09	0.38	no	no		"Amex, 1972"	"About 360,000,000 short t material with about 0.3% Cu at a lower cut-off grade."		no	no	no	no	no	no	"160,000"	8	494	605	no	no								
Moore's Flat	Moore's Flat	Nevada	CA	-120.850	39.419	39a	Placer Au-PGE				by 1853	1850's-1880's	"26,000,000"	cu yds	"259,000"	unk	no	no	no		"Lindgren, 1911; Orris and Bliss, 1985"		"15,000,000"		unk	unk	no	no	no		"Lindgren, 1911"				8	unk	no	no	no		unk	unk	no	no	no	PLAC	PLAC	60	525				
