Deposit	District	County	State	Long	Lat	No.	Deposit Type	No.	Alternative deposit types	Environmental Model	Discovery Year	Production Dates	Production Tonnage	Tonnage Units	Production Gold oz	Production Silver oz	Production Copper lbs	Production Lead lbs	Production Zinc lbs	Other Production	"References:Production"	Resource Year	Resource Tonnage	Tonnage Units	Grade Au opt or gpt	Grade Ag opt or gpt	Grade Cu (%)	Grade Pb (%)	Grade Zn (%)	Other Grades	"References:Resources"	Comments	Operators	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Tonnage thousand metric t	Au metric t	Ag metric t	Cu thousand metric t	Pb thousand metric t	Zn thousand metric t	Nu Layer	Tract	Map No.	Seq. No.	Active Mine	"New Mine(date production will begin)"	Active Prospect	"Best Source(for updating)"
Chichagoff - Hirst	Chichagoff	Sitka	AK	-136.097	57.664	36a	Low sulfide Au-quartz vein			Low sulfide Au-quartz vein	1905	1906-1942	"600,000"	short t	"791,000"	"40,000"	neg	neg	no		"Nokleberg and others, 1987"		"91,000"	metric t	41.20	unk	unk	unk	unk		"Nokleberg and others, 1987"			544	24.6	1.24	neg	neg	no	91	3.1	unk	unk	unk	unk	AKGQ	AK729	16					
Chicken Mountain	Iditarod	Yukon-Koyokuk	AK	-157.988	62.396		Porphyry Au						no		no	no	no	no	no			1992	"14,500,000"	metric t	1.20	unk	0.1	no	no	0.46% Sb	"Nokleberg and others, 1995"		Ventures Resource	no	no	no	no	no	no	"14,500"	17.4	unk	13	no	no							Yes	www.venturesresource.com
Chistochina	Chistochina	Valdez-Cordova	AK	-144.500	63.000	39a	Placer Au-PGE				1898	1899-1995			"181,261"	unk	no	no	no		"Bundtzen and others, 1996"														5.6	unk	no	no	no														
Circle	Circle	Yukon-Koyokuk	AK	-144.750	65.500	39a	Placer Au-PGE				1893	1893-1995	">9,400,000"	cu yds	"1,027,607"	unk	no	no	no		"Bundtzen and others, 1996"												Alpine Exploration - Circle Mining		32.0	unk	no	no	no							AKPL	AK754	57					
Cirque	Innoko - Tolstoi	Yukon-Koyokuk	AK	-156.978	62.845	20b	"Vein, polymetallic, Ag-Sn"						no		no	no	no	no	no				"175,000"	metric t							"Bundtzen and Miller, 1997"			no	no	no	no	no	no	175	unk	78	6	no	no								
Cliff (Port Valdez)	Prince William Sound	Valdez-Cordova	AK	-146.563	61.123	36a	Low sulfide Au-quartz vein			Low sulfide Au-quartz vein	1906	1910-1940			"51,800"	unk	no	no	no		"Nokleberg and others, 1987"												Etruscan Enterprises		1.6	unk	no	no	no							AKGQ	AK732	20				Yes	
Copper Bullion (Rua Cove)	Hope - Sunrise - Seward	Valdez-Cordova	AK	-147.632	60.348	24b	"Massive sulfide, Besshi"			Volcanic-associated massive sulfide	1905		no		no	no	no	no	no				"1,100,000"	short t	0.005	0.1	1.3	no	no		"Nokleberg and others, 1987"			no	no	no	no	no	no	"1,000"	0.17	3	13	no	no	AKCY	AK597	07					
Council	Council - Solomon	Nome	AK	-163.500	64.750	39a	Placer Au-PGE				1898	1898-1968			"1,000,000"	unk	no	no	no		"Cobb, 1973; Yeend and Shawe, 1989"														31.1	unk	no	no	no							AKPL	AK753	48					
Delta	Delta River	Southeast Fairbanks	AK	-144.160	63.233	28a	"Massive sulfide, kuroko"			Volcanic-associated massive sulfide			no		no	no	no	no	no				"40,000,000"	short t	0.018 to 0.061	0.7 to 2.0	0.3 to 1.1	0.5 to 2.3	1.7 to 5.7		"Lange and others, 1993"	Comprises about 30 individual deposits.	Northern Pacific Mining - ACNC (Inco)	no	no	no	no	no	no	"36,200"	24	960	120	200	680	AKKU	AK663	27				Yes	
Denali (Pass Creek)	Chistochina	Matanuska-Susitna	AK	-147.145	63.141	24b	"Massive sulfide, Besshi"			Volcanic-associated massive sulfide	1963		no		no	no	no	no	no				"5,000,000"	short t	unk	unk	2.0	unk	unk		"Bundtzen and others, 1996"	Comprises at least 6 individual deposits.		no	no	no	no	no	no	"4,540"	unk	unk	90	unk	unk	AKBS	AK617	03					
Donlin Creek	Iditarod	Yukon-Koyokuk	AK	-158.217	62.075		Porphyry Au						no		no	no	no	no	no			1996	"44,600,000"	metric t	2.50	unk	no	no	no		"SEGN#25, p. 30"	"More recent reports (SEGN#30) give 3,600,000 oz contained Au. Refractory ore."	Placer Dome - Calista	no	no	no	no	no	no	"44,600"	112	unk	no	no	no	AKGP	AK799	10			No local source of power will hinder development	Yes but cut back 1997	
Drenchwater Creek	Noatak	North Slope	AK	-158.680	68.570	31a	Sedimentary exhalative Zn-Pb			Sedimentary exhalative Zn-Pb-Ag			no		no	no	no	no	no				unk		unk	unk	unk	unk	unk		"Bundtzen and others, 1996"	Potentially significant Zn-Pb-Ag deposit within NPR-A.		no	no	no	no	no	no	unk	unk	unk	unk	unk	unk	AKSX	AK692	86					
Ellamar (Gladhaugh)	Prince William Sound	Valdez-Cordova	AK	-146.700	60.899	24b	"Massive sulfide, Besshi"			Volcanic-associated massive sulfide	1897	1901-1919	"301,835"	short t	"51,307"	"191,615"	"16,000,000"	no	no		"Bundtzen and others, 1996"		"450,000"	short t	0.09	0.8	0.5	no	no		"Newberry and others, 1997"			274	1.6	6.0	7.3	no	no	408	1.2	11	2	no	no	AKBS	AK618	04					
