State,County,Claims,Latitude,Longitude,MTRS
California,Butte,1,39.7759404760001,-121.43980410399999,21 0220N 0050E 008
California,Butte,2,39.775376378000004,-121.36681420299999,21 0220N 0050E 012
California,Butte,1,39.7613846250001,-121.459074697,21 0220N 0050E 018
California,Butte,1,39.7471891060001,-121.459113171,21 0220N 0050E 019
California,Butte,6,39.7467121500001,-121.366860751,21 0220N 0050E 024
California,Butte,2,39.7607712390001,-121.276376884,21 0220N 0060E 014
California,Butte,3,39.74624578,-121.258457405,21 0220N 0060E 024
California,Butte,3,39.731899318,-121.27601579200001,21 0220N 0060E 026
California,Butte,3,39.732254384,-121.33098753700001,21 0220N 0060E 029
California,Butte,4,39.718001486999995,-121.29427773100001,21 0220N 0060E 034
California,Butte,6,39.718204836999995,-121.275271871,21 0220N 0060E 035
California,Butte,3,39.718783886,-121.257228789,21 0220N 0060E 036
California,Butte,1,39.71867668,-121.239299986,21 0220N 0070E 031
California,Butte,1,39.879019391,-121.606677478,21 0230N 0030E 002
California,Butte,2,39.8212324260001,-121.64719865200001,21 0230N 0030E 028
California,Butte,2,39.806389186,-121.665921366,21 0230N 0030E 032
California,Butte,3,39.806475213000105,-121.627210885,21 0230N 0030E 034
California,Butte,1,39.8649123060001,-121.51305981200001,21 0230N 0040E 010
California,Butte,1,39.835850307,-121.551420457,21 0230N 0040E 020
California,Butte,2,39.82078889700011,-121.57011640700001,21 0230N 0040E 030
California,Butte,1,39.835699541000096,-121.45751287200001,21 0230N 0050E 019
California,Butte,1,39.834156691,-121.423341528,21 0230N 0050E 021
California,Butte,1,39.8212531240001,-121.439026337,21 0230N 0050E 029
California,Butte,1,39.924378674,-121.66420463,21 0240N 0030E 020
California,Butte,2,39.909973888,-121.684022592,21 0240N 0030E 030
California,Butte,1,39.8935772680001,-121.587969794,21 0240N 0030E 036
California,Butte,1,39.96562264,-121.419764379,21 0240N 0050E 004
California,Butte,4,39.9513106150001,-121.438825972,21 0240N 0050E 008
California,Butte,1,40.0384267750001,-121.55125956200001,21 0250N 0040E 008
California,Butte,1,40.009205889,-121.532043355,21 0250N 0040E 021
California,Butte,1,40.008964093,-121.475601526,21 0250N 0040E 024
California,Butte,1,39.979989458,-121.532059005,21 0250N 0040E 033
California,Butte,1,40.0090730700001,-121.438347585,21 0250N 0050E 020
California,Butte,1,39.980302502,-121.438630457,21 0250N 0050E 032
California,Butte,1,40.108040719,-121.490685271,21 0260N 0040E 014
California,Calaveras,1,38.0551330490001,-120.53460051100001,21 0020N 0130E 003
California,Calaveras,2,38.0417798350001,-120.516175354,21 0020N 0130E 011
California,Calaveras,4,38.056032939,-120.441012171,21 0020N 0140E 004
California,Calaveras,1,38.0559089440001,-120.47884906600001,21 0020N 0140E 006
California,Calaveras,1,38.0689523200001,-120.568039196,21 0030N 0130E 032
California,Calaveras,1,38.099252666,-120.42141254,21 0030N 0140E 022
California,Calaveras,1,38.0702554750001,-120.439992441,21 0030N 0140E 033
California,Calaveras,1,38.185379653000005,-120.51044222600001,21 0040N 0130E 023
California,Calaveras,2,38.185759325999996,-120.492024836,21 0040N 0130E 024
California,Calaveras,2,38.171176008,-120.51065529799999,21 0040N 0130E 026
California,Calaveras,2,38.1706191580001,-120.54729092,21 0040N 0130E 028
California,Calaveras,1,38.1859299440001,-120.47417502299999,21 0040N 0140E 019
California,Calaveras,1,38.1860397,-120.401229435,21 0040N 0140E 023
California,Calaveras,2,38.185922401,-120.382669631,21 0040N 0140E 024
California,Calaveras,1,38.2441088690001,-120.863108614,21 0050N 0100E 034
California,Calaveras,1,38.2441704840001,-120.84476684100001,21 0050N 0100E 035
California,Calaveras,2,38.2584571560001,-120.75108285799999,21 0050N 0110E 027
California,Calaveras,1,38.2435966790001,-120.732260745,21 0050N 0110E 035
California,Calaveras,2,38.2435294410001,-120.71358446200001,21 0050N 0110E 036
California,Calaveras,1,38.285873061000096,-120.60360395100001,21 0050N 0120E 013
California,Calaveras,4,38.2707154220001,-120.620967963,21 0050N 0120E 023
California,Calaveras,2,38.2713267930001,-120.603033529,21 0050N 0120E 024
California,Calaveras,3,38.25669859,-120.602938869,21 0050N 0120E 025
California,Calaveras,1,38.2565832940001,-120.620920485,21 0050N 0120E 026
California,Calaveras,3,38.2869401300001,-120.491379908,21 0050N 0130E 013
California,Calaveras,1,38.272064883,-120.363374056,21 0050N 0150E 019
California,Calaveras,1,38.2719226090001,-120.344396718,21 0050N 0150E 020
California,Calaveras,1,38.257684800999996,-120.363458295,21 0050N 0150E 030
California,Calaveras,1,38.4029375430001,-120.49490800299999,21 0060N 0130E 001
California,Calaveras,1,38.388426,-120.58741228299999,21 0060N 0130E 007
California,Calaveras,3,38.3889945350001,-120.569535195,21 0060N 0130E 008
California,Calaveras,1,38.38862800800009,-120.494700381,21 0060N 0130E 012
California,Calaveras,1,38.374491446,-120.494773221,21 0060N 0130E 013
California,Calaveras,2,38.3739544100001,-120.53227352100001,21 0060N 0130E 015
California,Calaveras,2,38.3741723300001,-120.56972662,21 0060N 0130E 017
California,Calaveras,1,38.3741054320001,-120.58756264,21 0060N 0130E 018
California,Calaveras,1,38.359701693000005,-120.57013825700001,21 0060N 0130E 020
California,Calaveras,1,38.359630989,-120.532374643,21 0060N 0130E 022
California,Calaveras,1,38.36009563800009,-120.513918192,21 0060N 0130E 023
California,Calaveras,9,38.345584251,-120.49534343299999,21 0060N 0130E 025
California,Calaveras,2,38.3450686190001,-120.588476414,21 0060N 0130E 030
California,Calaveras,2,38.3305714260001,-120.588362609,21 0060N 0130E 031
California,Calaveras,1,38.402767551000096,-120.437781966,21 0060N 0140E 004
California,Calaveras,1,38.3732868440001,-120.25414632399999,21 0060N 0160E 018
California,Calaveras,3,38.359020141,-120.254377498,21 0060N 0160E 019
California,Calaveras,1,38.344716856,-120.25450619200001,21 0060N 0160E 030
California,Calaveras,3,38.445936732000106,-120.49422649600001,21 0070N 0130E 024
California,Calaveras,3,38.431660068,-120.49444301,21 0070N 0130E 025
California,Del Norte,1,41.83390568300009,-124.03147761299999,15 0170N 0010E 026
California,Del Norte,3,41.981680362000105,-123.578074296,15 0180N 0050E 001
