Mine,County,Elevation,Commodity,Latitude,Longitude,MRDS
Jacks Ranch,Butte,na,Gold,39.60583,-121.43667,10028476
Unnamed,Butte,2001 Feet,Gold,39.54889,-121.22556,10103432
Porter,Butte,na,Gold,39.75,-121.54833,10028445
Pactolian Property,Butte,1401 Feet,Gold,39.5244,-121.39220,10284602
Unnamed Location,Butte,1499 Feet,Gold,39.5256,-121.37690,10138387
I.X.L. Quartz Prospect,Butte,1900 Feet,Gold,39.75361,-121.55500,10036008
Last Chance Lode,Butte,3999 Feet,Gold,39.98778,-121.55361,10103458
William George Lode,Butte,na,Gold,39.51889,-121.26944,10028503
Willard Consolidated Quartz,Butte,1601 Feet,Gold,39.8225,-121.57111,10103455
Keystone and Golden Fashee,Butte,3071 Feet,Gold,39.52806,-121.28500,10103438
Reese and Jones,Butte,na,Gold,39.99556,-121.43667,10091966
Glory Hole Mine,Butte,1601 Feet,Gold,39.62917,-121.48806,10035966
Owl Property,Butte,3924 Feet,Gold,40.00972,-121.57500,10036022
Edna. M. Property,Butte,3999 Feet,Gold,39.99,-121.57444,10036013
Monte Christo,Butte,1348 Feet,Gold,39.60972,-121.53611,10036033
New Era Mine,Butte,na,Gold,39.70667,-121.58556,10028382
Good Flat Mine,Butte,801 Feet,Gold,39.56667,-121.54472,10036036
Banner,Butte,na,Gold,39.55139,-121.51722,10109115
Rainbow,Butte,na,Gold Chromium,39.73472,-121.55278,10028449
Lucky John,Butte,na,Gold,39.77889,-121.60417,10028391
Jumbo and Blucher,Butte,1401 Feet,Gold,39.5158,-121.33280,10162706
Rotten Boulder Drift Mine,Butte,1624 Feet,Gold,39.7494,-121.55720,10138723
I X L Quartz Ledge,Butte,1919 Feet,Gold,39.7517,-121.55580,10187451
Horseshoe Mine,Butte,3376 Feet,Gold,39.7469,-121.25390,10162674
Unnamed Gold Placer,Butte,na,Gold,39.6697,-121.30030,10187118
Middle Fork Feather River,Butte,1900 Feet,Gold,39.6761,-121.29000,10260115
Ramona Mine,Butte,2359 Feet,Gold,39.79,-121.57670,10260057
Golden Eagle,Butte,1280 Feet,Gold,39.7889,-121.62280,10186852
Last Chance,Butte,741 Feet,Gold,39.7972,-121.65810,10114119
Florence Prospect,Butte,3576 Feet,Gold,39.7081,-121.31470,10114687
Daisy Prospect,Butte,3399 Feet,Gold,39.7081,-121.31060,10235102
Kinkaid Mine,Butte,2024 Feet,Gold,39.6906,-121.45920,10211497
Mcclung Prospect,Butte,2100 Feet,Gold,39.6675,-121.40250,10259970
Glory Hole Mine,Butte,699 Feet,Gold,39.6292,-121.48810,10113992
Crown Point,Butte,1759 Feet,Gold,39.5564,-121.31810,10235381
Bloomingdale Mine,Butte,1260 Feet,Gold,39.5983,-121.52860,10211368
Crystal Peak,Butte,1440 Feet,Gold,39.5706,-121.35860,10211657
Gold Occurrence,Butte,1680 Feet,Gold,39.5967,-121.40360,10283936
Lucky Bob Prospect,Butte,279 Feet,Gold,39.5408,-121.51170,10114251
Bullion Mine,Butte,1401 Feet,Gold,39.6164,-121.28560,10211584
Zig Zag Quartz,Butte,4400 Feet,Gold,39.99417,-121.56167,10103457
Black Eagle,Butte,na,Gold,39.56222,-121.19500,10028526
Horseshoe Mine,Butte,na,Gold,39.75,-121.25083,10028515
Mascot Property,Butte,600 Feet,Gold,39.5636,-121.51580,10162469
Willard Consolidated Quartz,Butte,1759 Feet,Gold,39.8239,-121.56610,10183890
Unnamed Location,Butte,3701 Feet,Gold,39.5986,-121.08580,10211302
Red Hill,Butte,2001 Feet,Gold,39.8289,-121.57030,10260360
Unnamed Location,Butte,925 Feet,Gold,39.7244,-121.47110,10235386
Butte Creek,Butte,305 Feet,Gold,39.69889,-121.78194,10109540
Jackpot,Butte,1401 Feet,Gold,39.715,-121.55080,10114426
Blue Hog,Butte,1749 Feet,Gold,39.7394,-121.56830,10138297
Rainbow,Butte,1739 Feet,Gold,39.7347,-121.55280,10211566
Hendricks Prospect,Butte,2224 Feet,Gold,39.7314,-121.50780,10162536
Gold Bank Mine,Butte,na,Gold,39.53585,-121.26608,10310622
Middle Fork Feather River,Butte,1749 Feet,Gold,39.7161,-121.26720,10259962
Magalia District,Butte,na,Gold,39.84338,-121.58860,10310641
Unknown,Butte,na,Gold,39.7558,-121.63692,10028390
Carpenter Mine,Butte,3199 Feet,Gold,39.92111,-121.58944,10103450
Unknown,Butte,na,Gold,39.66333,-121.30667,10028514
North Star Mine,Butte,3501 Feet,Gold,39.60917,-121.14556,10035933
Middle Fork Feather River,Butte,na,Gold,39.64895,-121.29093,10091974
Unnamed,Butte,2402 Feet,Gold,39.92639,-121.61444,10103453
Carlisle Mine,Butte,1001 Feet,Gold,39.54528,-121.27000,10103442
Oroville,Butte,na,Gold Silver,39.45,-121.61667,10072359
Sticky Thumb,Butte,4800 Feet,Gold,39.82,-121.35170,10283947
Bloomington Mine,Butte,1371 Feet,Gold,39.60417,-121.52667,10036035
Golden Thread Property,Butte,4101 Feet,Gold,40.01028,-121.54944,10036023
Primal Lode,Butte,2700 Feet,Gold,39.52222,-121.26778,10035989
Unknown,Butte,na,Gold,39.59111,-121.08333,10028538
Gentle Anna,Butte,na,Gold,39.54778,-121.15778,10028536
Bingstresser,Butte,na,Gold,39.60709,-121.14035,10028520
Unknown,Butte,na,Gold,39.57667,-121.26944,10028506
Golden Summit Westcott,Butte,na,Gold,40.01,-121.43667,10028498
Rotten Boulder Drift Mine,Butte,na,Gold,39.74944,-121.55722,10028447
Springer Consolidated Mine,Butte,2500 Feet,Gold,39.8925,-121.61750,10036005
Last Chance,Butte,640 Feet,Gold,39.79722,-121.65806,10035998
St. Francis Mine,Butte,1900 Feet,Gold,39.55694,-121.33083,10035991
Burlington Prospect,Butte,2799 Feet,Gold,39.52722,-121.27806,10035973
Surcease Mine,Butte,1850 Feet,Gold,39.69111,-121.46528,10035946
Rock River Property,Butte,1421 Feet,Gold,39.60917,-121.52611,10036031
Golden West,Butte,2500 Feet,Gold,39.57278,-121.23750,10035931
I X L Quartz Ledge,Butte,1919 Feet,Gold,39.75167,-121.55583,10110630
Magalia,Butte,na,Gold,39.78333,-121.50000,10072357
Cherokee Mine,Butte,na,Gold,39.64028,-121.54607,10310601
Oroville District,Butte,na,Gold,39.46404,-121.60000,10310662
Contention Placer,Butte,na,Gold,39.89363,-121.58838,10028413
Wyoming Black Diamond,Butte,na,Gold,39.89444,-121.62278,10028408
Unknown,Butte,na,Gold,39.92333,-121.60417,10028405
Shawnee Alladin Mclain,Butte,na,Gold,39.93778,-121.62278,10028403
Magalia Perschbaker,Butte,na,Gold,39.83555,-121.58884,10028398
Lucky Bob Prospect,Butte,279 Feet,Gold,39.54083,-121.51167,10103470
Phoenix Mine,Butte,1729 Feet,Gold,39.47528,-121.41250,10035951
St. Francis,Butte,na,Gold,39.54929,-121.30506,10028507
Hornet Mine,Butte,na,Gold,39.75,-121.43667,10028488
Dix Drift Mine,Butte,na,Gold,39.92333,-121.61694,10028404
Emma No. 2 Placer,Butte,na,Gold,39.86556,-121.62278,10028395
Indian Springs,Butte,na,Gold,39.8654,-121.62647,10028394
Butte Creek District,Butte,na,Gold,39.70712,-121.75243,10310595
Gold Hill Dredging Company,Butte,na,Gold,39.4325,-121.62278,10028374
Unnamed,Butte,2700 Feet,Gold,39.57889,-121.26389,10035942
Unnamed,Butte,1850 Feet,Gold,39.62694,-121.32111,10035936
Honey Comb Quartz,Butte,2900 Feet,Gold,39.53333,-121.28361,10103439
Star Light Mine,Butte,2001 Feet,Gold,39.53528,-121.26389,10103436
Wild Yankee Mine,Butte,3924 Feet,Gold,40.02583,-121.58917,10103461
New Oregon Forty-Nine,Butte,801 Feet,Gold,39.53639,-121.34778,10103445
Venus Quartz,Butte,2001 Feet,Gold,39.70056,-121.52139,10036027
Palo Alto Property,Butte,4199 Feet,Gold,39.79806,-121.32861,10035996
Midas Mine,Butte,1299 Feet,Gold,39.54139,-121.30972,10035976
Dewey Lode,Butte,2799 Feet,Gold,39.52917,-121.27583,10035975
Unknown,Butte,na,Gold,39.54778,-121.30667,10091972
Church Lode,Butte,2598 Feet,Gold,39.52694,-121.24889,10035977
Florence Prospect,Butte,3520 Feet,Gold,39.70806,-121.31472,10035965
Resumption,Butte,2470 Feet,Gold,39.48972,-121.31750,10035953
Bidwell Bar District,Butte,na,Gold,39.55602,-121.44004,10310588
Royal Drift,Butte,2241 Feet,Gold,39.90861,-121.62389,10076482
El Monte Mine,Butte,2799 Feet,Gold,39.88778,-121.59056,10103451
Equitable Mine,Butte,2651 Feet,Gold,39.53611,-121.26167,10103440
Silver Moon,Butte,2500 Feet,Gold,39.85111,-121.57167,10036006
Unknown,Butte,na,Gold,39.59111,-121.39972,10091958
Golden Summit Mine,Butte,6549 Feet,Gold,40.00972,-121.42417,10103463
Rainbow Mine,Butte,1650 Feet,Gold,39.73472,-121.55222,10036029
Unknown,Butte,na,Gold,39.57667,-121.23222,10091979
Carr Mine,Butte,na,Gold,40.03889,-121.41833,10028497
Unknown,Butte,na,Gold,39.51889,-121.38111,10028473
Carlisle,Butte,na,Gold,39.54778,-121.26944,10028510
Little Frog,Butte,3120 Feet,Gold,39.8203,-121.54420,10162394
Mosquito Creek,Butte,2959 Feet,Gold,39.8736,-121.56640,10138443
Butte Creek Mine,Butte,2480 Feet,Gold,39.8439,-121.59810,10187616
Palo Alto Property,Butte,4400 Feet,Gold,39.7981,-121.32860,10114360
Little Hope,Butte,3442 Feet,Gold,39.7883,-121.35140,10162753
American Eagle,Butte,3760 Feet,Gold,39.7669,-121.40360,10138183
Bluebird Mine,Butte,3599 Feet,Gold,39.99111,-121.58556,10036016
Good Flat Mine,Butte,860 Feet,Gold,39.5667,-121.54470,10162540
New Oregon,Butte,801 Feet,Gold,39.5364,-121.34780,10260029
Slater Property,Butte,1240 Feet,Gold,39.5358,-121.32220,10114398
Shakespeare Prospect,Butte,2799 Feet,Gold,39.5192,-121.27140,10211549
Sampson Lode,Butte,2799 Feet,Gold,39.5247,-121.27810,10211466
William George,Butte,2598 Feet,Gold,39.5269,-121.26030,10138582
Homestake Mine,Butte,919 Feet,Gold,39.5269,-121.34780,10187095
Unnamed Location,Butte,2759 Feet,Gold,39.6019,-121.27530,10187599
Norton Quartz,Butte,1421 Feet,Gold,39.6072,-121.52580,10163036
Bingstreaser,Butte,4124 Feet,Gold,39.6089,-121.13080,10211571
Unnamed Location,Butte,3274 Feet,Gold,39.6089,-121.15170,10162622
Ludlam,Butte,3648 Feet,Gold,39.6194,-121.13360,10259863
Cory and Strong Placer,Butte,3760 Feet,Gold,39.9367,-121.52470,10211301
Inskip,Butte,4081 Feet,Gold,39.9861,-121.55030,10284515
Occurrence,Butte,2500 Feet,Gold,39.6206,-121.27500,10210964
Central Pacific Mine,Butte,2234 Feet,Gold,39.4778,-121.31560,10162714
Hornet Lode,Butte,1401 Feet,Gold,39.61306,-121.52528,10036037
Dewey Lode,Butte,2759 Feet,Gold,39.5292,-121.27580,10284030
Fayette,Butte,2598 Feet,Gold,39.5347,-121.27580,10187349
Central Mine,Butte,499 Feet,Gold,39.555,-121.54310,10284733
Boston Quartz,Butte,1401 Feet,Gold,39.6056,-121.52580,10162514
Monte Christo,Butte,1362 Feet,Gold,39.6097,-121.53610,10211175
Burlington Prospect,Butte,2841 Feet,Gold,39.5272,-121.27810,10114490
Stowe Home Pine,Butte,2520 Feet,Gold,39.5289,-121.26860,10138446
Love Point,Butte,1401 Feet,Gold,39.5272,-121.33610,10162921
New York Mine,Butte,2641 Feet,Gold,39.5383,-121.28500,10187096
Mount Ida Property,Butte,1348 Feet,Gold,39.5169,-121.34610,10187112
Resumption,Butte,2451 Feet,Gold,39.4897,-121.31750,10163096
Golden Fissure,Butte,919 Feet,Gold,39.5375,-121.43890,10162587
Lydia,Butte,1601 Feet,Gold,39.5131,-121.35560,10162627
Mattie Property,Butte,1001 Feet,Gold,39.5028,-121.44690,10162575
Magalia,Butte,2520 Feet,Gold,39.8442,-121.58860,10114170
Princess,Butte,2641 Feet,Gold,39.8589,-121.58060,10260111
Oro Fino,Butte,2320 Feet,Gold,39.8647,-121.61190,10284135
Gold Mountain,Butte,4961 Feet,Gold,39.9967,-121.53670,10235125
Buffalo Mine,Butte,1181 Feet,Gold,39.59,-121.52920,10162990
Hornet Lode,Butte,1401 Feet,Gold,39.6131,-121.52530,10114385
Mountain House Drift Prospect,Butte,3599 Feet,Gold,39.705,-121.31000,10235587
Carlisle,Butte,1362 Feet,Gold,39.5478,-121.26890,10284303
Unnamed Location,Butte,1079 Feet,Gold,39.5503,-121.28560,10114001
Prospect,Butte,1079 Feet,Gold,39.5483,-121.30530,10284571
Garibaldi,Butte,1119 Feet,Gold,39.5556,-121.30560,10162692
Southern Cross,Butte,1001 Feet,Gold,39.5469,-121.31640,10114144
St. Lawrence,Butte,4324 Feet,Gold,40.00861,-121.54611,10036021
St Francis,Butte,1440 Feet,Gold,39.5569,-121.31330,10260334
Bessie Mine,Butte,4199 Feet,Gold,39.99333,-121.55444,10036017
Denver Mine,Butte,1499 Feet,Gold,39.54167,-121.29861,10035985
Southern Cross Mine,Butte,1001 Feet,Gold,39.54639,-121.31556,10035984
Mammoth Mine,Butte,1001 Feet,Gold,39.55,-121.29194,10035968
Grandview Mine,Butte,2799 Feet,Gold,39.5269,-121.27220,10235103
Equitable Mine,Butte,1601 Feet,Gold,39.5361,-121.26170,10259800
Unknown,Butte,na,Gold,39.33139,-121.45528,10091952
Unknown,Butte,na,Gold,40.05333,-121.52972,10091950
Fayette and La Shalle,Butte,2598 Feet,Gold,39.53472,-121.27583,10035974
Wannasha,Butte,1250 Feet,Gold,39.68333,-121.53667,10103464
Stowe Home Pine Grove Quartz,Butte,1499 Feet,Gold,39.52889,-121.26861,10103437
Wyoming Mine,Butte,2500 Feet,Gold,39.89583,-121.61750,10036004
Occurrence,Butte,2621 Feet,Gold,39.61056,-121.26889,10035945
Levant Quartz,Butte,2851 Feet,Gold,39.52972,-121.27778,10035972
Daisy Prospect,Butte,3501 Feet,Gold,39.70806,-121.31056,10035964
Occurrence,Butte,2500 Feet,Gold,39.61889,-121.27722,10035944
Unnamed,Butte,1450 Feet,Gold,39.46611,-121.38667,10035952
Sampson Lode,Butte,2851 Feet,Gold,39.52472,-121.27806,10035988
William George Lode,Butte,2500 Feet,Gold,39.52694,-121.26028,10035982
Grand View Mine,Butte,2749 Feet,Gold,39.52722,-121.27222,10035979
Yuba Biggs Dredge No. 1,Butte,na,Gold,39.41778,-121.62278,10028375
Silver Crescent Reynolds Silver Star,Butte,na,Gold,39.80194,-121.35889,10028495
Unnamed Location,Butte,1276 Feet,Gold,39.4472,-121.37890,10187219
Unnamed Location,Butte,171 Feet,Gold,39.3317,-121.46030,10210971
Hendricks Prospect,Butte,na,Chromium Gold,39.73,-121.50861,10095073
Mascot Property,Butte,600 Feet,Gold,39.56361,-121.51583,10036039
Unknown,Butte,na,Gold,39.66333,-121.19500,10028537
Triumph Mine,Butte,2999 Feet,Gold,39.58389,-121.17194,10035957
Willard Consolidated Quartz,Butte,na,Gold,39.82222,-121.56694,10028458
Unknown,Butte,na,Gold,39.72111,-121.47389,10028452
Jackpot Golden Pool Cape Horn,Butte,na,Gold,39.72111,-121.54833,10028451
Cherokee Flat Blue Gravel,Butte,na,Gold,39.62722,-121.54028,10028440
Phoenix Abd,Butte,na,Gold,39.47564,-121.41792,10091956
Inskip Mine,Butte,4482 Feet,Gold,39.98778,-121.55222,10103460
Bingstresser Mine,Butte,4049 Feet,Gold,39.60778,-121.13167,10035932
Unknown,Butte,na,Gold,39.72111,-121.26944,10091975
Exposition 1915 No. 1,Butte,na,Gold,39.59111,-121.17639,10028522
Keystone & Golden Fashee,Butte,na,Gold,39.53361,-121.28806,10028501
Unknown,Butte,na,Gold,39.37387,-121.45504,10028469
Ethel,Butte,na,Gold,39.79333,-121.62278,10028387
Welch Hydraulic Mine,Butte,na,Gold,39.66333,-121.58556,10028384
Unknown,Butte,na,Gold,39.63322,-121.49604,10028436
Placer Mines,Butte,na,Gold,39.51881,-121.51189,10028421
Unknown,Butte,na,Gold,39.98111,-121.58556,10028415
Unnamed,Butte,3701 Feet,Gold,39.72333,-121.28028,10035994
Inskip,Butte,na,Gold,39.98111,-121.54833,10028466
Grouse Quartz,Butte,4081 Feet,Gold,39.98889,-121.57306,10036015
Unknown,Butte,na,Gold,39.67778,-121.43667,10091960
Unnamed,Butte,1401 Feet,Gold,39.57056,-121.37917,10035940
Roeper Property,Butte,4150 Feet,Gold,39.99111,-121.56889,10036019
Bootjack Group,Butte,3799 Feet,Gold,39.50056,-121.29806,10035981
Pinkston Mine,Butte,2700 Feet,Gold,39.69222,-121.43167,10035928
Unknown,Butte,na,Gold,39.60583,-121.26944,10091970
Cherokee Placer,Butte,na,Gold,39.64028,-121.54667,10109117
Emma Nimshew Drift Mine,Butte,na,Gold,39.83582,-121.60761,10109114
Golden Eagle Mine,Butte,1299 Feet,Gold,39.78889,-121.62278,10036002
Katydid Quartz,Butte,2651 Feet,Gold,39.89306,-121.61833,10036000
Nisket Lode and Standard Mine,Butte,1181 Feet,Gold,39.59278,-121.53000,10103465
Gold Metal,Calaveras,1250 Feet,Gold,38.0125,-120.70361,10102617
Florence Claim,Calaveras,2398 Feet,Gold,38.1836,-120.45250,10187062
Gray,Calaveras,3041 Feet,Gold,38.4417,-120.50300,10114306
Quartz Lode,Calaveras,801 Feet,Gold,38.2278,-120.69420,10211686
Napoli,Calaveras,200 Feet,Gold,38.2156,-120.93390,10280442
Irwin & Mcmillan,Calaveras,1440 Feet,Gold,38.0289,-120.50500,10138612
Great Eastern & Oriental,Calaveras,2799 Feet,Gold,38.38972,-120.50861,10029304
Quartz Hill,Calaveras,na,Gold Silver,38.09556,-120.51417,10029070
Iphigenia and Manhattan Mining Claims,Calaveras,na,Gold,38.19639,-120.67944,10028865
Chapman Mine,Calaveras,2402 Feet,Gold,38.30167,-120.51611,10029240
Calendar,Calaveras,2598 Feet,Gold,38.41972,-120.51556,10029390
Blazing Star,Calaveras,2999 Feet,Gold,38.40139,-120.50694,10029280
Keystone,Calaveras,1601 Feet,Gold,38.0889,-120.56530,10259694
Holm Quartz Claim,Calaveras,2598 Feet,Gold,38.2469,-120.53140,10187438
Green Mountain Mcso,Calaveras,1601 Feet,Gold,38.2836,-120.68860,10235134
Ariola Mine,Calaveras,801 Feet,Gold,38.01278,-120.49639,10029012
Tom Hardy,Calaveras,1480 Feet,Gold,38.0694,-120.53110,10211660
Elliotte Mining Claim,Calaveras,1401 Feet,Gold,38.1739,-120.57110,10235491
Four Hundred,Calaveras,2001 Feet,Gold,38.23333,-120.56417,10076489
Midnight,Calaveras,801 Feet,Gold,38.1086,-120.79140,10138060
Meyer,Calaveras,217 Feet,Gold,38.0975,-120.88030,10284186
Kresge,Calaveras,299 Feet,Gold,38.185,-120.95330,10260075
Wall Prospect,Calaveras,na,Gold,38.37306,-120.36389,10103151
Grand Prize,Calaveras,2749 Feet,Gold,38.37222,-120.50222,10102778
Texas & Missouri,Calaveras,na,Gold,38.11778,-120.45556,10029435
Galena - Gold Hill Mine,Calaveras,2959 Feet,Gold,38.41528,-120.51444,10029388
Tip Top,Calaveras,1201 Feet,Gold,38.14111,-120.63806,10028817
Spring Valley Baumhogger Property,Calaveras,na,Gold,38.19639,-120.78944,10028679
Reveal Penn Mining Co.,Calaveras,na,Gold,38.22528,-120.88139,10028593
Lamphyre,Calaveras,200 Feet,Gold,38.22,-120.95528,10028569
Duffy,Calaveras,1401 Feet,Gold,38.0639,-120.54360,10187097
Ziegler,Calaveras,1558 Feet,Gold,38.07,-120.54970,10284276
Marine,Calaveras,2808 Feet,Gold,38.39222,-120.48889,10034681
San Bruno,Calaveras,2598 Feet,Gold,38.3633,-120.57280,10138408
Burgess,Calaveras,1099 Feet,Gold,38.14,-120.64556,10028763
Gold Ribbon Mine,Calaveras,na,Gold,38.23972,-120.71611,10028755
Ophir Elizabeth Beal,Calaveras,na,Gold,38.23972,-120.73444,10028754
Plaza Penn Mining Company,Calaveras,na,Gold,38.23972,-120.78944,10028750
Illinois,Calaveras,1640 Feet,Gold,38.01889,-120.65444,10034675
Dubovonich,Calaveras,820 Feet,Gold,38.01194,-120.55778,10034669
Admiral Dewey,Calaveras,2799 Feet,Gold,38.21972,-120.47556,10029472
Blue Bell,Calaveras,na,Gold,38.33056,-120.51250,10029368
Lone Star,Calaveras,2402 Feet,Gold,38.29778,-120.50722,10029241
Vista Mine,Calaveras,na,Gold,38.05917,-120.52806,10028960
Slate Creek,Calaveras,1099 Feet,Gold,38.0547,-120.80670,10284616
Searchlight,Calaveras,1099 Feet,Gold,38.1697,-120.65640,10163153
Gold Metal,Calaveras,1299 Feet,Gold,38.0239,-120.70830,10260038
Diamond Jack & Poverty,Calaveras,1138 Feet,Gold,38.0283,-120.72690,10284298
Thorn,Calaveras,na,Gold,38.11694,-120.65806,10028834
Gloy,Calaveras,2201 Feet,Gold,38.2128,-120.58170,10138302
Surf & Cordes Prospect,Calaveras,na,Gold,37.96833,-120.55694,10027951
Deep Lead Placer Mine,Calaveras,1480 Feet,Gold,38.2839,-120.70830,10162953
Leader,Calaveras,899 Feet,Gold,38.1122,-120.80560,10284254
Lucky Boy,Calaveras,801 Feet,Gold,38.1089,-120.79170,10114017
Alice I,Calaveras,1001 Feet,Gold,38.1289,-120.76860,10114461
Old Dan Reynolds,Calaveras,2759 Feet,Gold,38.36,-120.51330,10260224
La Verne,Calaveras,2398 Feet,Gold,38.3642,-120.56970,10211184
Ohio,Calaveras,2041 Feet,Gold,38.085,-120.49250,10211630
La Petite,Calaveras,2598 Feet,Gold,38.2869,-120.52750,10235151
O Hara,Calaveras,1801 Feet,Gold,38.2419,-120.65690,10235470
La France,Calaveras,1001 Feet,Gold,37.9967,-120.56890,10235594
Oakum,Calaveras,2201 Feet,Gold,38.4319,-120.50690,10259720
King Solomon,Calaveras,3041 Feet,Gold,38.4022,-120.49330,10114207
Chino,Calaveras,2841 Feet,Gold,38.3922,-120.50780,10162439
Senora,Calaveras,1401 Feet,Gold,38.0397,-120.53330,10138434
Seeman,Calaveras,1001 Feet,Gold,38.1267,-120.63170,10162586
C. M. Jacob,Calaveras,1519 Feet,Gold,38.3158,-120.62170,10259896
Virginia Black Oak,Calaveras,1401 Feet,Gold,38.1008,-120.58470,10259637
Unnamed Gold Mines,Calaveras,1801 Feet,Gold,38.06,-120.50420,10260286
Senica,Calaveras,2598 Feet,Gold,38.3575,-120.53580,10187495
Royal Mine Pine Log,Calaveras,1099 Feet,Gold,38.0039,-120.69220,10235477
Oversite,Calaveras,1801 Feet,Gold,38.1011,-120.50110,10259619
Old McKenney,Calaveras,2201 Feet,Gold,38.2081,-120.53440,10138087
Charlie Hoss,Calaveras,2680 Feet,Gold,38.36,-120.58690,10138485
Nucleus,Calaveras,2799 Feet,Gold,38.3492,-120.58640,10260146
Jasper,Calaveras,2201 Feet,Gold,38.3667,-120.54280,10211618
Deer Lodge,Calaveras,1601 Feet,Gold,38.1319,-120.38500,10138820
Eclipse,Calaveras,1480 Feet,Gold,38.0833,-120.56560,10138185
Keltz,Calaveras,2799 Feet,Gold,38.4431,-120.49360,10211071
Cadillac Eight,Calaveras,2598 Feet,Gold,38.185,-120.46920,10162852
Tom,Calaveras,1440 Feet,Gold,38.0836,-120.58500,10162810
Meeker,Calaveras,1401 Feet,Gold,38.0289,-120.51250,10284479
North Star,Calaveras,na,Gold,38.29722,-120.67944,10028824
Gopher,Calaveras,na,Gold,38.29722,-120.67944,10028822
Mitchell Or Martin Mine,Calaveras,600 Feet,Gold,37.9125,-120.60556,10028785
Maltos and Mexican C,Calaveras,1099 Feet,Gold,38.0014,-120.69640,10187541
January,Calaveras,1401 Feet,Gold,38.0631,-120.54610,10162524
Horseshoe,Calaveras,2398 Feet,Gold,38.1756,-120.46860,10259768
Carpenter Twp 2,Calaveras,1201 Feet,Gold,38.0525,-120.54750,10260033
Cultus,Calaveras,2598 Feet,Gold,38.34,-120.50110,10114499
Cordova,Calaveras,2201 Feet,Gold,38.2289,-120.57670,10138349
Volcano,Calaveras,2720 Feet,Gold,38.4167,-120.50000,10163046
Boulder Numbers 2 3 and 4,Calaveras,2598 Feet,Gold,38.4053,-120.54580,10284146
Alliance,Calaveras,2920 Feet,Gold,38.4058,-120.50140,10138496
Aetna,Calaveras,2201 Feet,Gold,38.3711,-120.57280,10284091
Quartz Hill,Calaveras,1640 Feet,Gold,38.0983,-120.51580,10235437
Summit,Calaveras,2680 Feet,Gold,38.3058,-120.50750,10138713
Sierra King,Calaveras,2598 Feet,Gold,38.36,-120.57280,10260403
Rocky Bar,Calaveras,2398 Feet,Gold,38.1464,-120.48780,10162379
French Hill,Calaveras,1601 Feet,Gold,38.3022,-120.69610,10163030
Good Hope,Calaveras,1001 Feet,Gold,38.3161,-120.69580,10211627
Easy Bird,Calaveras,1119 Feet,Gold,38.3128,-120.69610,10284200
Peck Ranch,Calaveras,1601 Feet,Gold,38.3156,-120.67310,10114514
Monte Carlo,Calaveras,1201 Feet,Gold,38.315,-120.67690,10162886
Mammoth & Jumper,Calaveras,1201 Feet,Gold,38.3156,-120.67780,10284039
Linderaxa,Calaveras,1201 Feet,Gold,38.3153,-120.67670,10113975
Idora,Calaveras,1201 Feet,Gold,38.3153,-120.67830,10114403
Keystone,Calaveras,1201 Feet,Gold,38.3156,-120.67720,10260090
Ariel,Calaveras,1201 Feet,Gold,38.3131,-120.68250,10211551
Boston Mine,Calaveras,1201 Feet,Gold,38.3131,-120.68220,10260289
Johnson,Calaveras,1119 Feet,Gold,38.1667,-120.64280,10211622
Particelli,Calaveras,1401 Feet,Gold,38.0833,-120.58610,10211462
Ratto,Calaveras,1119 Feet,Gold,38.1389,-120.17060,10211666
Clark,Calaveras,2799 Feet,Gold,38.3419,-120.50780,10162644
Unknown,Calaveras,na,Gold,38.2574,-120.69461,10028825
Senica,Calaveras,2598 Feet,Gold,38.3778,-120.52580,10284432
Chris Anderson,Calaveras,1119 Feet,Gold,38.1811,-120.65170,10162785
Saratoga,Calaveras,2720 Feet,Gold,38.3447,-120.58670,10162766
Central Hill,Calaveras,2280 Feet,Gold,38.1231,-120.46140,10187081
San Pedro,Calaveras,2661 Feet,Gold,38.36,-120.58330,10186965
Old Mcgregor & Old Mcgregor No. 2,Calaveras,na,Gold,38.19639,-120.60611,10028859
Quartz Lode,Calaveras,na,Gold,38.22833,-120.69444,10028846
Big Nugget,Calaveras,2201 Feet,Gold,38.1964,-120.53110,10138272
Batten Ranch,Calaveras,na,Gold,38.09556,-120.45917,10029447
Cal-Gold Mining,Calaveras,1440 Feet,Gold,38.0819,-120.58170,10186956
Deer Lodge,Calaveras,1601 Feet,Gold,38.13306,-120.38167,10103063
Blue Bird and Grey Eagle,Calaveras,200 Feet,Gold,38.2131,-120.93890,10114248
Blue Bell,Calaveras,2799 Feet,Gold,38.3308,-120.50890,10162956
Pandora,Calaveras,1801 Feet,Gold,38.2125,-120.63780,10259707
Bonanza Mine,Calaveras,1801 Feet,Gold,38.0219,-120.62500,10235478
Curtis,Calaveras,1519 Feet,Gold,38.0833,-120.56830,10138246
Horseshoe,Calaveras,801 Feet,Gold,38.1975,-120.71222,10028744
Finck,Calaveras,751 Feet,Gold,38.28611,-120.75556,10028708
Providence,Calaveras,na,Gold,38.22833,-120.71194,10028662
Scott Hill,Calaveras,1201 Feet,Gold,38.1692,-120.63060,10235232
Last Hope J.W. Hatfield Jr. & J.D. Schrack Estate,Calaveras,na,Gold,38.25389,-120.75278,10028734
West Lake Et Al. Calaveras Placer Inc.,Calaveras,na,Gold,38.24342,-120.71337,10028728
Hatfield Jr,Calaveras,1220 Feet,Gold,38.27139,-120.71028,10028722
