i	dep_id	yr	line	res_nm	res_tp	proved	probable	reserves	meas	indic	demo	infer	tot_resources	tot_endowment	units	best_rec	remrk	inserted_by	insert_date	updated_by	update_date
1	"10183390"	"1981"	1	""	"In-situ"				250000		250000		250000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
2	"10134150"	"1990"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
3	"10183628"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
4	"10255780"	"1988"	3	""	"In-situ"				33060000		33060000				"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
5	"10255710"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
6	"10231236"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
7	"10182980"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
8	"10133861"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
9	"10069246"	"1973"	3	"AT KANSA & NEARBY SUKINDA"	"In-situ"								35000000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
10	"10158849"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
11	"10183352"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
12	"10182938"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
13	"10082635"	"1991"	1	""	"In-situ"			4523000							""	"Y"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
14	"10243632"	"1995"	2	""	"In-situ"						1000000		1000000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
15	"10243632"	"1993"	1	""	"In-situ"					1200000	1200000		1200000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
16	"10005673"	"1963"	20	""	"In-situ"								405000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
17	"10201760"	"1943"	1	""	"In-situ"					45350	45350		45350		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
18	"10096169"	"1984"	1	""	"In-situ"								100000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
19	"10305280"	"1976"	3	""	"In-situ"				90700000		90700000		90700000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
20	"10255307"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
21	"10256083"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
22	"10133711"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
23	"10159013"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
24	"10303888"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
25	"10255193"	"1991"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
26	"10126767"	"1975"	1	""	"In-situ"				1020000000		1020000000		1020000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
27	"10046769"	"1966"	1	""	"In-situ"								204000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
28	"10086832"	"1966"	3	""	"In-situ"								22400000		"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
29	"10086832"	"1966"	1	""	"In-situ"								24080000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
30	"10305542"	"1992"	1	""	"In-situ"				107515		107515		107515		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
31	"10133984"	"1991"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
32	"10157803"	"1995"	1	""	"In-situ"					8400000	8400000		8400000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
33	"10281045"	"0"	3	""	"In-situ"				5000000		5000000		5000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
34	"10104635"	"1979"	3	""	"In-situ"								1200000		"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
35	"10104635"	"1979"	1	""	"In-situ"								1020000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
36	"10060636"	"1988"	1	""	"In-situ"								60000000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
37	"10111259"	"1975"	5	""	"In-situ"								510000000		"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
38	"10111259"	"1982"	3	""	"In-situ"								2850000000		"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
39	"10111259"	"1986"	1	""	"In-situ"								1015000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
40	"10206830"	"1986"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
41	"10304259"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
42	"10158115"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
43	"10159280"	"0"	1	""	"In-situ"						200000		200000		"mt concentrate"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
44	"10206682"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
45	"10304280"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
46	"10206846"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
47	"10256151"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
48	"10166450"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
49	"10280126"	"1986"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
50	"10158537"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
51	"10255236"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
52	"10255699"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
53	"10133883"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
54	"10255290"	"1992"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
55	"10230743"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
56	"10256167"	"1986"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
57	"10255122"	"1991"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
58	"10305479"	"1991"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
59	"10305158"	"1992"	1	""	"In-situ"						100000		100000		"mt concentrate"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
60	"10086984"	"1990"	20	""	"In-situ"								55440000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
61	"10279673"	"1991"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
62	"10279617"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
63	"10280566"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
64	"10142608"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
65	"10280789"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
66	"10257178"	"1991"	1	""	"In-situ"						200000		200000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
67	"10183340"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
68	"10182607"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
69	"10082613"	"1995"	1	""	"In-situ"			9							""	"Y"	""	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"	"Woodruff, Laurel G."	"02-APR-2004 00:00:00"
70	"10181912"	"1974"	2	""	"In-situ"					700000	700000		700000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
71	"10181912"	"1974"	1	""	"In-situ"					3700000	3700000		3700000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
72	"10023439"	"1981"	3	""	"In-situ"								48390000		"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
73	"10023439"	"1965"	1	""	"In-situ"								45351000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
74	"10049247"	"1960"	1	""	"In-situ"								5000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
75	"10070222"	"1947"	20	""	"In-situ"							20000			"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
76	"10068907"	"1974"	1	""	"In-situ"								678300000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
77	"10024333"	"1982"	20	""	"In-situ"										"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
78	"10134237"	"0"	3	""	"In-situ"				72099		72099	640400	712499		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
79	"10133305"	"1974"	3	""	"In-situ"				97956000		97956000		97956000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
80	"10158410"	"1970"	2	""	"In-situ"								341000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
81	"10158410"	"1970"	1	""	"In-situ"								1223000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
82	"10158428"	"1991"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
83	"10305551"	"1994"	2	""	"In-situ"							14500	14500		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
84	"10305551"	"1994"	1	""	"In-situ"				1100		1100		1100		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
85	"10305551"	"1994"	3	""	"In-situ"								28000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
86	"10086786"	"1983"	1	""	"In-situ"								12520000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
87	"10134070"	"1987"	1	""	"In-situ"					319000	319000		319000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
88	"10088467"	"1977"	20	""	"In-situ"								3190000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
89	"10064859"	"1987"	20	""	"In-situ"								293000000		"kg commodity"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
90	"10104488"	"1960"	1	""	"In-situ"								14100000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
91	"10107376"	"1986"	20	""	"In-situ"								1298000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
92	"10082881"	"1978"	1	""	"In-situ"								71000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
93	"10100562"	"1920"	3	""	"In-situ"								18000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
94	"10005738"	"1976"	3	""	"In-situ"								156000000		"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
95	"10005738"	"1976"	1	""	"In-situ"								224700000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
96	"10004040"	"1979"	5	""	"In-situ"								10300000		"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
97	"10004040"	"1979"	3	""	"In-situ"								10600000		"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
98	"10004040"	"1979"	1	""	"In-situ"								9400000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
99	"10088491"	"1967"	20	""	"In-situ"								2200000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
100	"10291606"	"1947"	1	""	"In-situ"							202	202		"mt commodity"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
101	"10134175"	"0"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
102	"10133511"	"1991"	9	""	"In-situ"					14100000	14100000		14100000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
103	"10133511"	"1991"	5	""	"In-situ"					14100000	14100000		14100000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
104	"10133511"	"1986"	3	""	"In-situ"					9500000	9500000		9500000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
105	"10133511"	"1988"	2	""	"In-situ"							9500000	9500000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
106	"10133511"	"1988"	1	""	"In-situ"					24700000	24700000		24700000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
107	"10133628"	"0"	3	""	"In-situ"				570000		570000		570000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
108	"10068924"	"1976"	1	""	"In-situ"								224700000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
109	"10086874"	"1976"	3	""	"In-situ"								67350000		"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
110	"10086874"	"1976"	1	""	"In-situ"								8630000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
111	"10153408"	"1967"	2	""	"In-situ"							68200000	68200000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
112	"10153408"	"1967"	1	""	"In-situ"					19000000	19000000		19000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
113	"10073088"	"1974"	20	""	"In-situ"								8000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
114	"10073088"	"1974"	1	""	"In-situ"								8000000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
115	"10278966"	"1975"	1	""	"In-situ"					6000000	6000000		6000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
116	"10090756"	"1971"	20	""	"In-situ"										"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
117	"10009834"	"1955"	20	""	"In-situ"										"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
118	"10158883"	"1976"	2	""	"In-situ"					16173432	16173432		16173432		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
119	"10158883"	"1976"	1	""	"In-situ"				32100000		32100000		32100000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
120	"10024692"	"1977"	20	""	"In-situ"								3000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
121	"10207398"	"1981"	2	""	"In-situ"					1000000000		1000000000	1000000000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
122	"10207398"	"1977"	1	""	"In-situ"				325000000	325000000	650000000	383000000	1033000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
123	"10006127"	"1975"	1	""	"In-situ"								4245243000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
124	"10280485"	"1978"	1	""	"In-situ"				510800	504500	1015300	1057000	2072300		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
125	"10139469"	"1948"	1	""	"In-situ"					1816	1816		1816		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
126	"10024271"	"1966"	1	""	"In-situ"								3000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
127	"10107874"	"1960"	22	""	"In-situ"										"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
128	"10255892"	"1977"	3	""	"In-situ"				2226000		2226000		2226000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
129	"10134157"	"1993"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
130	"10303211"	"1978"	1	""	"In-situ"					10113000	10113000		10113000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
131	"10158005"	"1987"	4	""	"In-situ"				25194		25194		25194		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
132	"10000502"	"1942"	1	""	"In-situ"								272000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
133	"10182286"	"1968"	3	""	"In-situ"				9070000		9070000		9070000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
134	"10025064"	"1982"	20	""	"In-situ"								250000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
135	"10078843"	"1977"	1	""	"In-situ"								53000000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
136	"10255418"	"1994"	3	""	"In-situ"						26		26		"mt commodity"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
137	"10255418"	"1994"	2	""	"In-situ"					1000000	1000000		1000000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
138	"10024498"	"1982"	24	""	"In-situ"										"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
139	"10069212"	"1975"	5	""	"In-situ"								45000000000		"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
140	"10069212"	"1974"	1	""	"In-situ"								44000000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
141	"10073073"	"1975"	24	"DHUKONDA"	"In-situ"							46000000			"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
142	"10073073"	"1975"	22	"BANDALAMOTTU"	"In-situ"							14000000			"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
143	"10073073"	"1975"	20	"BANDALAMOTTU"	"In-situ"							1000000			"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
144	"10073073"	"1975"	5	"DHUKONDA"	"In-situ"							460000000			"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
145	"10073073"	"1975"	3	"BANDALAMOTTU"	"In-situ"							1400000000			"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
146	"10073073"	"1975"	1	"BANDALAMOTTU"	"In-situ"							10000000000			"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
147	"10134025"	"1992"	9	""	"In-situ"					227603000	227603000		227603000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
148	"10134025"	"1995"	5	""	"In-situ"						179300000		179300000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
149	"10134025"	"1992"	4	""	"In-situ"					227603000	227603000		227603000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
150	"10134025"	"1991"	3	""	"In-situ"					241504000	241504000		241504000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
151	"10303677"	"1992"	1	""	"In-situ"								218000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
152	"10232179"	"1995"	4	""	"In-situ"						11000000		11000000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
153	"10232179"	"1995"	3	""	"In-situ"						1000000		1000000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
154	"10232179"	"1989"	9	""	"In-situ"					19000000	19000000		19000000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
155	"10232179"	"1989"	2	""	"In-situ"					2500000	2500000		2500000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
156	"10232179"	"1989"	1	""	"In-situ"					19000000	19000000		19000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
157	"10023293"	"1990"	1	""	"In-situ"								120000000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
158	"10099333"	"1960"	1	""	"In-situ"								1675000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
159	"10182752"	"1993"	1	""	"In-situ"				139019608		139019608		139019608		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
160	"10006412"	"1982"	22	""	"In-situ"								24852000		"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
161	"10006412"	"1982"	20	""	"In-situ"								3840000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
162	"10005627"	"1972"	24	""	"In-situ"								3000000		"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
163	"10005627"	"1972"	22	""	"In-situ"								253000000		"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
164	"10005627"	"1972"	20	""	"In-situ"								15000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
165	"10149865"	"1982"	1	""	"In-situ"								4540000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
166	"10304369"	"1982"	1	""	"In-situ"					1100000	1100000		1100000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
167	"10304369"	"1983"	2	""	"In-situ"						1123000		1123000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
168	"10008067"	"1970"	20	""	"In-situ"							130000000			"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
169	"10303159"	"1982"	1	""	"In-situ"					418400000	418400000		418400000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
170	"10231312"	"1981"	1	""	"In-situ"				450000000		450000000		450000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
171	"10239332"	"1993"	1	""	"In-situ"						9300000		9300000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
172	"10055824"	"1983"	1	""	"In-situ"								2741000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
173	"10256096"	"0"	3	""	"In-situ"				5800000		5800000		5800000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
174	"10304787"	"1989"	1	""	"In-situ"						2500000		2500000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
175	"10134280"	"1979"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
176	"10303857"	"1991"	1	""	"In-situ"										"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	""	""
