i	dep_id	yr	line	res_nm	res_tp	proved	probable	reserves	meas	indic	demo	infer	tot_resources	tot_endowment	units	best_rec	remrk	inserted_by	insert_date	updated_by	update_date
11470	"10158330"	"1974"	3	""	"In-situ"				7000000		7000000		7000000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11471	"10022550"	"1983"	22	""	"In-situ"								2000		"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11472	"10282444"	"1994"	2	""	"Milling"				46820000		468200000		468200000		"mt ore"	""	"PROVEN + PROBABLE MILLING RESERVES AS OF 12/31/94\n"	"MAS migration"	"29-OCT-02"	"WBFERGUS"	"06-JAN-10"
11473	"10073082"	"1976"	20	""	"In-situ"								25000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11474	"10073082"	"1985"	3	""	"In-situ"								12000000000		"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
11475	"10073082"	"1976"	1	""	"In-situ"								2500000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	""	""
11476	"10182572"	"1983"	1	""	"In-situ"						50800000		50800000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11477	"10012285"	"1989"	24	""	"In-situ"										"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11478	"10012285"	"1969"	22	""	"In-situ"										"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11479	"10012285"	"1966"	20	""	"In-situ"										"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11480	"10012285"	"1992"	26	""	"In-situ"										"mt ore"	""	""	"MRDS migration"	"29-OCT-2002 00:00:00"	""	""
11481	"10068981"	"1987"	26	""	"In-situ"										"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
11482	"10068981"	"1985"	24	""	"In-situ"										"mt ore"	""	""	"MRDS migration"	"29-OCT-02"	""	""
11483	"10068981"	"1990"	20	""	"In-situ"								1446961000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11484	"10255587"	"1993"	4	""	"In-situ"						1670000		1670000		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11485	"10255587"	"1991"	3	""	"In-situ"					625273	625273		625273		"mt ore"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11486	"10255587"	"1992"	1	""	"In-situ"				1446961	235868	1682829		1682829		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11487	"10255184"	"1993"	2	""	"In-situ"					170600000	170600000		170600000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11488	"10255184"	"1993"	4	""	"In-situ"								385100		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	""	""
11489	"10255184"	"1993"	3	""	"In-situ"							754400000	754400000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11490	"10232118"	"1977"	3	""	"In-situ"				840000		840000		840000		"mt concentrate"	""	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11491	"10232118"	"1987"	1	""	"In-situ"				5500000		5500000		5500000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-02"	"Paul Schruben"	"10-JAN-06"
11492	"10094873"	"1982"	20	""	"In-situ"								25000000		"mt ore"	"Y"	""	"MRDS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11493	"10206067"	"1992"	2	""	"In-situ"							1900000	1900000		"mt ore"	""	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11494	"10206067"	"1992"	1	""	"In-situ"							1400000	1400000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
11495	"10304854"	"1982"	1	""	"In-situ"				214000	300000	514000	218000	732000		"mt ore"	"Y"	""	"MAS migration"	"29-OCT-2002 00:00:00"	"Paul Schruben"	"10-JAN-2006 00:00:00"
