gid,state,county,ftr_type,ftr_name,ftr_azimut,topo_name,topo_date,topo_scale,compiledby,remarks,gda_id,scanid,dir,longitude,latitude
489600,CA,Siskiyou,Adit,,298,"Fort Jones",1955,62500,USGS,,5501793,297493,nw,-122.93541032999991,41.58759442600007
489613,CA,Siskiyou,Adit,,297,"Fort Jones",1955,62500,USGS,,5501793,297493,nw,-122.9323580549999,41.57282263400003
489628,CA,Siskiyou,Adit,,299,"Fort Jones",1955,62500,USGS,,5501793,297493,nw,-122.9323160489999,41.57228496700009
489641,CA,Siskiyou,Adit,"Littrel Mine",303,Yreka,1954,62500,USGS,,5505197,302030,nw,-122.72703740499992,41.63704913500004
489962,CA,Siskiyou,Adit,,325,"Fort Jones",1955,62500,USGS,,5501793,297493,nw,-122.9471605839999,41.585584734000065
489971,CA,Siskiyou,Adit,,334,"Fort Jones",1955,62500,USGS,,5501793,297493,nw,-122.93790638399992,41.577826739000045
489993,CA,Siskiyou,Adit,,336,"Fort Jones",1955,62500,USGS,,5501793,297493,nw,-122.93690938999993,41.58583362500008
490012,CA,Siskiyou,Adit,,330,"Fort Jones",1955,62500,USGS,,5501793,297493,nw,-122.93075372399994,41.58262373200006
489543,CA,Siskiyou,Adit,,355,"Fort Jones",1955,62500,USGS,,5501793,297493,n,-122.93812053599993,41.57694157900005
489583,CA,Siskiyou,Adit,,342,"Fort Jones",1955,62500,USGS,,5501793,297493,n,-122.94632301399992,41.57998824100008
489618,CA,Siskiyou,Adit,,359,"Fort Jones",1955,62500,USGS,,5501793,297493,n,-122.9374209739999,41.577998060000084
