gid,state,county,ftr_type,ftr_name,ftr_azimut,topo_name,topo_date,topo_scale,compiledby,remarks,gda_id,scanid,dir,longitude,latitude
48497,CA,Siskiyou,Adit,,70,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,e,-123.01218091399994,41.356495015000064
48517,CA,Siskiyou,Adit,,91,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,e,-123.02246801099994,41.337740858000075
48637,CA,Siskiyou,Adit,,108,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,e,-123.0118704869999,41.34491157900004
48722,CA,Siskiyou,Adit,,110,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,e,-123.01201133899991,41.34419595700007
48726,CA,Siskiyou,Adit,,93,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,e,-123.02413243899991,41.33454109100006
48739,CA,Siskiyou,Adit,,81,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,e,-123.02194672099989,41.33785234800007
48746,CA,Siskiyou,Adit,,70,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,e,-123.0121753169999,41.35580467200003
48764,CA,Siskiyou,Adit,,88,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,e,-123.01088857899992,41.345505003000085
48796,CA,Siskiyou,Adit,,70,"Eaton Peak",1986,24000,"CA Dept Conserv",,5513111,290195,e,-122.9656727009999,41.25343413100006
48831,CA,Siskiyou,Adit,,83,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,e,-123.01202636999994,41.343931173000044
489695,CA,Siskiyou,Adit,,97,"Sawyers Bar",1955,62500,USGS,,5504417,301651,e,-123.02424246999993,41.334591266000075
489806,CA,Siskiyou,Adit,,77,"Sawyers Bar",1955,62500,USGS,,5504417,301651,e,-123.01187403099993,41.34418144500006
489828,CA,Siskiyou,Adit,,97,"Sawyers Bar",1955,62500,USGS,,5504417,301651,e,-123.02244835499994,41.337667433000036
489965,CA,Siskiyou,Adit,,76,"Sawyers Bar",1955,62500,USGS,,5504417,301651,e,-123.01150283499993,41.355339213000036
489994,CA,Siskiyou,Adit,,99,"Sawyers Bar",1955,62500,USGS,,5504417,301651,e,-123.01167034899993,41.34527409400005
489998,CA,Siskiyou,Adit,,68,Etna,1955,62500,USGS,,5501691,297437,e,-122.96564143799992,41.25339242500007
48464,CA,Siskiyou,Adit,,131,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,se,-123.02199626399994,41.33647250300004
48513,CA,Siskiyou,Adit,,134,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,se,-123.02182187199992,41.33622884600004
48786,CA,Siskiyou,Adit,,120,Etna,1986,24000,"CA Dept Conserv",,5513623,290403,se,-122.98625086499993,41.38086471300005
489539,CA,Siskiyou,Adit,,157,"Sawyers Bar",1955,62500,USGS,,5504417,301651,se,-123.01666531399991,41.359280554000065
489653,CA,Siskiyou,Adit,,157,"Sawyers Bar",1955,62500,USGS,,5504417,301651,se,-123.01399555899991,41.36149725900009
489717,CA,Siskiyou,Adit,,150,"Sawyers Bar",1955,62500,USGS,,5504417,301651,se,-123.0138061539999,41.36049598200009
489906,CA,Siskiyou,Adit,"Advance Mine",144,"Sawyers Bar",1955,62500,USGS,,5504417,301651,se,-123.0231878919999,41.33930450100007
489937,CA,Siskiyou,Adit,"Hogan Mine",156,"Sawyers Bar",1955,62500,USGS,,5504417,301651,se,-123.01253932899994,41.36170855600005
48433,CA,Siskiyou,Adit,,180,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,s,-123.01931841599992,41.36196979600004
48460,CA,Siskiyou,Adit,,189,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,s,-123.02078484499992,41.35588092100005
48491,CA,Siskiyou,Adit,,161,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,s,-123.0139555099999,41.36021221200008
48492,CA,Siskiyou,Adit,,169,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,s,-123.01340104999991,41.36061734700007
48548,CA,Siskiyou,Adit,,164,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,s,-123.01432147899993,41.36044915400004
48574,CA,Siskiyou,Adit,"Cub Bear Mine",201,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,s,-123.02141914399994,41.35535221100008
48647,CA,Siskiyou,Adit,"Hogan Mine",177,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,s,-123.0126973539999,41.36030857600008
48737,CA,Siskiyou,Adit,,177,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,s,-123.01347057399994,41.35358645100007
48788,CA,Siskiyou,Adit,,184,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,s,-123.01647856699992,41.359477612000035
489592,CA,Siskiyou,Adit,,164,"Sawyers Bar",1955,62500,USGS,,5504417,301651,s,-123.02290997099993,41.337140144000045
489659,CA,Siskiyou,Adit,,176,"Sawyers Bar",1955,62500,USGS,,5504417,301651,s,-123.01836329799994,41.352940716000035
489938,CA,Siskiyou,Adit,,162,"Sawyers Bar",1955,62500,USGS,,5504417,301651,s,-123.0229832579999,41.33742758400007
489976,CA,Siskiyou,Adit,,160,"Sawyers Bar",1955,62500,USGS,,5504417,301651,s,-123.01639215299991,41.35991444100006
490017,CA,Siskiyou,Adit,,180,"Sawyers Bar",1955,62500,USGS,,5504417,301651,s,-123.02018501299995,41.35550863100008
489694,CA,Siskiyou,Adit,,246,"Sawyers Bar",1955,62500,USGS,,5504417,301651,sw,-123.0019250279999,41.36676157800008
48775,CA,Siskiyou,Adit,,289,"Eaton Peak",1986,24000,"CA Dept Conserv",,5513111,290195,w,-122.96615882299994,41.254175187000044
48707,CA,Siskiyou,Adit,,310,"Eaton Peak",1986,24000,"CA Dept Conserv",,5513111,290195,nw,-122.97142650299992,41.25346519100009
48790,CA,Siskiyou,Adit,,303,Etna,1986,24000,"CA Dept Conserv",,5513623,290403,nw,-122.99161852799995,41.37940308000009
48810,CA,Siskiyou,Adit,,304,"Tanners Peak",1977,24000,"CA Dept Conserv",,5524295,300790,nw,-123.02295410099993,41.32385308100004
48600,CA,Siskiyou,Adit,,345,"Eaton Peak",1986,24000,"CA Dept Conserv",,5513111,290195,n,-122.96912723299994,41.25467085400004
